Command,Category
turn on the lights,1
turn off the lights,1
turn on the fan ,1
turn off the fan,1
turn on the charger,1
turn off the charger,1
turn on the coffee machine,1
turn off the coffee machine,1
turn on the geyser,1
turn off the geyser,1
turn on the microwave,1
turn off the microwave,1
turn on the printer,1
turn off the printer,1
turn on the room heater,1
turn off the room heater,1
turn on the fridge,1
turn on the refrigerator,1
turn off the refrgerator,1
turn off the fridge,1
turn on the pump,1
turn off the pump,1
turn on the toaster,1
turn off the toaster,1
turn on the sandwitch maker,1
turn off the sandwitch maker,1
turn on the air purifier,1
turn off the air purifier,1
turn on the washing machine ,1
turn off the washing machine,1
turn on the microwave,1
turn off the microwave,1
turn on the oven,1
turn off the oven,1
power of tv,2
volume up of tv,2
volume down of tv,2
channel up of tv,2
channel down of tv,2
mute of tv,2
menu of tv,2
back of tv,2
next of tv,2
previous of tv,2
up of tv,2
down of tv,2
left of tv,2
right of tv,2
ok of tv,2
power of ac,2
sleep of ac,2
fan of ac,2
tempreature up of ac,2
tempreature down of ac,2
fan up of ac,2
fan down of ac,2
mode of ac,2
increase volume of home theatre,2
decrease volume of home theatre,2
next of home theatre,2
previous of home theatre,2
power of home theatre,2
play of home theatre,2
pause of home theatre,2
stop of home theatre,2
play ar rahman jai ho,3
play asha bhosle jhumka gira re,3
play lata mangeshkar bindiya chamkegi,3
play sonu nigam sandese aate hain,3
play ravi shankar shree,3
play rd burman chura liya hai tum ne,3
play zakir hussain songs,3
play kishore kumar songs,3
play kailash kher diwani,3
play sunidhi chauhan,3
play shreya ghoshal,3
play guru randhawa,3
play ankit tiwari,3
play pritam,3
play atif aslam,3
play eminem not afraid,3
play rihanna umbrella,3
play taylor swift love story,3
play drake one dance,3
play the weekend starboy,3
play beyonce ,3
play lady gaga judas,3
play ed sheeran shape of you,3
play bruno mars grenade,3
play post malone rockstar,3
play justin timerlake mirrors,3
play elton john,3
play aerosmith dream on,3
play katy perry fireworks,3
play celine dion,3
play nicki minaj,3
play britney spears,3
play travis scott,3
play adam levine,3
play black eyed peas pump it,3
set an alarm for 12:00 am,4
set an alarm for 1:00 am,4
set an alarm for 2:00 am,4
set an alarm for 3:00 am,4
set an alarm for 4:00 am,4
set an alarm for 5:00 am,4
set an alarm for 6:00 am,4
set an alarm for 7:00 am,4
set an alarm for 8:00 am,4
set an alarm for 9:00 am,4
set an alarm for 10:00 am,4
set an alarm for 11:00 am,4
set an alarm for 6:30 am,4
set an alarm for 7:30 am,4
set an alarm for 8:30 am,4
set an alarm for 12:00 pm,4
set an alarm for 1:00 pm,4
set an alarm for 2:00 pm,4
set an alarm for 3:00 pm,4
set an alarm for 4:00 pm,4
set an alarm for 5:00 pm,4
set an alarm for 6:00 pm,4
set an alarm for 7:00 pm,4
set an alarm for 8:00 pm,4
set an alarm for 9:00 pm,4
set an alarm for 10:00 pm,4
set an alarm for 11:00 pm,4
set an alarm for 6:30 pm,4
set an alarm for 7:30 pm,4
set an alarm for 8:30 pm,4
wikipedia about narendra modi,5
wikipedia about donald trump,5
wikipedia about mahatma gandhi,5
wikipedia about hitler,5
wikipedia about elizabeth,5
wikipedia about meghan markle,5
wikipedia about game of thrones,5
wikipedia about virat kohli,5
wikipedia about sachin tendulkar,5
wikipedia about taj mahal,5
wikipedia about unity statue,5
wikipedia about bollywood,5
wikipedia about hollywood,5
wikipedia about bitcoin,5
